Rank,Count,Wins,Games,Win Pct
A,0,125164,551479,22.696%
A,1,908321,2496696,36.381%
A,2,1950991,3902436,49.994%
A,3,1588694,2496397,63.639%
A,4,427321,552992,77.274%
K,0,236994,551635,42.962%
K,1,1161295,2497491,46.498%
K,2,1951508,3902080,50.012%
K,3,1336352,2496924,53.520%
K,4,314342,551870,56.959%
Q,0,268702,551730,48.702%
Q,1,1230267,2495539,49.299%
Q,2,1951961,3903485,50.006%
Q,3,1266424,2495738,50.743%
Q,4,283137,553508,51.153%
J,0,283146,553186,51.185%
J,1,1263479,2497066,50.599%
J,2,1950125,3902163,49.975%
J,3,1233704,2495203,49.443%
J,4,270037,552382,48.886%
T,0,289447,552462,52.392%
T,1,1276244,2495596,51.140%
T,2,1951797,3901218,50.030%
T,3,1220665,2499704,48.832%
T,4,262338,551020,47.610%
9,0,293855,552485,53.188%
9,1,1287684,2497003,51.569%
9,2,1951353,3903184,49.994%
9,3,1209462,2495755,48.461%
9,4,258137,551573,46.800%
8,0,297002,552930,53.714%
8,1,1294763,2498703,51.817%
8,2,1949588,3900028,49.989%
8,3,1203197,2495787,48.209%
8,4,255941,552552,46.320%
7,0,297568,551401,53.966%
7,1,1296931,2495990,51.961%
7,2,1952371,3903206,50.020%
7,3,1199410,2497513,48.024%
7,4,254211,551890,46.062%
6,0,297973,551655,54.014%
6,1,1299835,2497173,52.052%
6,2,1948889,3899780,49.974%
6,3,1199499,2498751,48.004%
6,4,254295,552641,46.015%
5,0,299069,552200,54.160%
5,1,1301480,2497080,52.120%
5,2,1952116,3900542,50.047%
5,3,1195072,2496526,47.869%
5,4,252754,553652,45.652%
4,0,300380,552119,54.405%
4,1,1302351,2496542,52.166%
4,2,1951224,3902893,49.994%
4,3,1193882,2495828,47.835%
4,4,252654,552618,45.719%
3,0,300951,552904,54.431%
3,1,1304477,2496866,52.245%
3,2,1949013,3900982,49.962%
3,3,1193537,2496282,47.813%
3,4,252513,552966,45.665%
2,0,300604,552782,54.380%
2,1,1304269,2499258,52.186%
2,2,1949719,3900132,49.991%
2,3,1193950,2496453,47.826%
2,4,251949,551375,45.695%
